EVTM,NAME,QUALIFIER,PARTNO,LOCATION,CONN_NAME,LOCPAGE,ZONE,CONN_CELL,CONN_PAGE,HCCF_CELL,HCCF_PAGE,ITEMID_,FREQUENCY
EXW,A/C Clutch Cycling Pressure Switch,3.8L,19E561,"RH rear of engine compartment, on accumulator",C171,1,D1,,,,,,
EXW,A/C Clutch Cycling Pressure Switch,3.0L,19E561,"RH rear of engine compartment, on accumulator",C171,5,D1,,,,,,
EXW,A/C Clutch Diode,,N/A,In battery junction box,,,,,,,,,
EXW,A/C Clutch Field Coil,3.8L,N/A,Lower RH front of engine,C172,2,F5,,,,,,
EXW,A/C Clutch Field Coil,3.0L,N/A,Lower RH front of engine,C172,6,F5,,,,,,
EXW,A/C Clutch Relay,,N/A,In battery junction box,,,,,,,,,
EXW,A/C High Pressure Cutout/Fan Switch,3.8L,19D594,Center front of engine compartment,C141,1,F6,,,,,,
EXW,A/C High Pressure Cutout/Fan Switch,3.0L,19D594,Center front of engine compartment,C141,5,F5,,,,,,
EXW,A/C-Heater Control Switch,,N/A,Center of I/P,C247,9,A6,,,,,,
EXW,Accessory Delay Relay,,14N089,In fuse junction panel,,,,,,,,,
EXW,Air Bag Sliding Contact,,N/A,Top of steering column,C215,10,D10,,,,,,
EXW,Air Bag Sliding Contact,,N/A,Top of steering column,C267,10,D10,,,,,,
EXW,Ambient Air Temperature Sensor,3.8L,N/A,RH front of engine compartment,C182,2,F3,,,,,,
EXW,Ambient Air Temperature Sensor,3.0L,N/A,RH front of engine compartment,C182,6,F3,,,,,,
EXW,Anti-Lock Brake Control Module,3.8L,2C219,Under driver seat,C111,,,,,42,4,,
EXW,Anti-Lock Brake Control Module,3.0L,2C219,Under driver seat,C111,7,B10,,,42,4,,
EXW,Anti-Theft Sounder,,N/A,Right rear of vehicle,,,,,,,,,
EXW,Anti-Theft Switch,3.8L,N/A,LH rear of engine compartment,C189,2,A9,,,,,,
EXW,Anti-Theft Switch,3.0L,N/A,LH rear of engine compartment,C189,6,A8,,,,,,
EXW,Ashtray Illumination,,N/A,Center of I/P,C287,10,F5,,,,,,
EXW,Autolamp Sensor,,N/A,LH side of I/P,C260,9,B10,,,87,3,,
EXW,Auxiliary A/C Blend Door Actuator,,N/A,Left of rear seat,C311,,,,,54,6,,
EXW,Auxiliary A/C Blower Motor Relay,,14N089,In fuse junction panel,,,,,,,,,
EXW,Auxiliary A/C Blower Relay Module,,N/A,rear of vehicle,,,,,,,,,
