EVTM,CELL,PAGE,NAME,QUALIFIER,ITEMID_,SORT
EXW,010,001,A/C Clutch Diode,,,
EXW,010,001,A/C Clutch Field Coil,3.0L,,
EXW,010,001,A/C Clutch Field Coil,3.8L,,
EXW,010,001,Anti-Theft Switch,3.0L,,
EXW,010,001,Anti-Theft Switch,3.8L,,
EXW,010,001,Battery Junction Box,3.0L,,
EXW,010,001,Battery Junction Box,3.8L,,
EXW,010,001,Dual Pitch Horn,3.0L,,
EXW,010,001,Dual Pitch Horn,3.8L,,
EXW,010,001,Left Electric Cooling Fan Motor,3.0L,,
EXW,010,001,Left Electric Cooling Fan Motor,3.8L,,
EXW,010,001,Liftgate Wiper Relay,3.0L,,
EXW,010,001,Liftgate Wiper Relay,3.8L,,
EXW,010,001,PCM Power Relay,3.0L,,
EXW,010,001,PCM Power Relay,3.8L,,
EXW,010,001,Right Electric Cooling Fan Motor,3.0L,,
EXW,010,001,Right Electric Cooling Fan Motor,3.8L,,
EXW,010,001,Speed Control Servo,3.0L,,
EXW,010,001,Speed Control Servo,3.8L,,
EXW,010,001,Windshield Washer Fluid Level Switch,3.0L,,
EXW,010,001,Windshield Washer Fluid Level Switch,3.8L,,
EXW,010,002,Anti-Lock Brake Control Module,3.0L,,
EXW,010,002,Anti-Lock Brake Control Module,3.8L,,
EXW,010,002,Brake Fluid Warning Switch,3.0L,,
EXW,010,002,Brake Fluid Warning Switch,3.8L,,
EXW,010,002,Fuel Pump/Fuel Gauge Sender,,,
EXW,010,002,Windshield Wiper Motor,3.0L,,
EXW,010,002,Windshield Wiper Motor,3.8L,,
EXW,010,003,Crankshaft Position (CKP) Sensor,3.0L,,
EXW,010,003,Crankshaft Position (CKP) Sensor,3.8L,,
EXW,010,003,Intake Manifold Runner Control (IMRC) Monitor,,,
EXW,010,003,Mass Air Flow (MAF) Sensor,3.0L,,
EXW,010,003,Mass Air Flow (MAF) Sensor,3.8L,,
EXW,010,003,Powertrain Control Module (PCM),3.0L,,
EXW,010,003,Powertrain Control Module (PCM),3.8L,,
EXW,010,004,Air Bag Sliding Contact,,,
EXW,010,004,Blend Door Actuator,,,
EXW,010,004,Blower Motor Resistor,,,
EXW,010,004,CD Player,,,
EXW,010,004,Glove Box Lamp,,,
EXW,010,004,I/P Cigar Lighter,,,
EXW,010,004,Main Light Switch,,,
EXW,010,004,Message Center Switch,,,
EXW,010,004,Radio,,,
EXW,010,004,Rear Radio Control,,,
EXW,010,004,Steering Column Switch Illumination,,,
EXW,010,004,Traction Assist/Parking Aid Disable Switch,,,
EXW,010,005,Ashtray Illumination,,,
EXW,010,005,Blower Motor Switch,,,
EXW,010,005,Climate Control Switch Assembly,,,
EXW,010,005,Data Link Connector (DLC),,,
EXW,010,005,I/P Power Plug,,,
EXW,010,005,Radio,,,
EXW,010,005,Shift Lock Actuator,,,
EXW,010,006,Cargo Lamp,,,
EXW,010,006,Interior Lamp,,,
EXW,010,006,Left Rear Second Row Reading Lamp,,,
EXW,010,006,Left Rear Third Row Reading Lamp,,,
EXW,010,006,Parking Aid Module (PAM),,,
EXW,010,006,Power Plug,,,
EXW,010,006,Rear Auxiliary A/C Control,,,
EXW,010,006,Right Rear Second Row Reading Lamp,,,
EXW,010,006,Right Rear Third Row Reading Lamp,,,
EXW,010,006,Trailer Tow Connector,,,
EXW,010,006,Trailer Tow Module,,,
EXW,010,007,Left Sliding Door Ajar Switch,,,
EXW,010,007,Liftgate Wiper Motor,,,
EXW,010,007,Rear Electronic Module (REM),,,
EXW,010,007,Rear Window Defrost Grid,,,
EXW,010,007,Right Liftgate Ajar Switch,,,
EXW,010,007,Right Power Sliding Door Module,,,
EXW,010,007,Right Sliding Door Ajar Switch,,,
EXW,010,008,Right Door Ajar Switch,,,
EXW,010,008,Right Door Disarm Switch,,,
EXW,010,008,Right Door Lock Switch,,,
EXW,010,008,Right Exterior Rear View Mirror,,,
EXW,010,008,Right Lumbar Seat Pump Motor,,,
EXW,010,008,Right Power Sliding Door Switch,,,
EXW,010,008,Right Power Window Switch,,,
EXW,010,008,Right Seat Control Switch,,,
EXW,010,009,Autolamp Sensor,,,
EXW,010,009,Compass Module,,,
EXW,010,009,Data Link Connector (DLC),,,
EXW,010,009,Electronic Day/Night Mirror,,,
EXW,010,009,Instrument Cluster,,,
EXW,010,009,Left Vanity Mirror Lamp,,,
EXW,010,009,Passive Anti-Theft System (PATS) Transceiver Module,,,
EXW,010,009,Remote Keyless Entry (RKE) Module,,,
EXW,010,009,Right Vanity Mirror Lamp,,,
EXW,010,009,Traction Assist/Parking Aid Disable Switch,,,
EXW,010,010,Electronic Brake Switch Connector,,,
EXW,010,010,Front Electronic Module (FEM),,,
EXW,010,010,Left Power Lumbar Switch,,,
EXW,010,010,Left Seat Control Switch,,,
EXW,010,010,Safety Belt Buckle Switch,,,
EXW,010,011,Exterior Rear View Mirror Switch,,,
EXW,010,011,Left Door Ajar Switch,,,
EXW,010,011,Left Door Disarm Switch,,,
EXW,010,011,Left Door Lock Switch,,,
EXW,010,011,Left Exterior Rear View Mirror,,,
EXW,010,011,Left Power Sliding Door Switch,,,
EXW,010,011,Master Window Control Switch,,,
EXW,010,011,Rear Radio Control,,,
EXW,010,012,Auxiliary A/C Blower Relay Module,,,
EXW,010,012,Auxiliary Blower Motor Resistor Assembly,,,
EXW,010,012,Auxiliary Blower Speed Relay #2,,,
EXW,010,012,Fuel Door Interlock Switch,,,
EXW,010,012,Left Power Sliding Door Module,,,
EXW,012,001,Battery,,,
EXW,012,001,Battery Junction Box,3.0L,,
EXW,012,001,Battery Junction Box,3.8L,,
EXW,012,001,Fusible Link A,3.0L,,
EXW,012,001,Fusible Link A,3.8L,,
EXW,012,001,Fusible Link B,3.0L,,
EXW,012,001,Fusible Link B,3.8L,,
EXW,012,001,Fusible Link C,3.0L,,
EXW,012,001,Fusible Link C,3.8L,,
EXW,012,001,Generator,3.0L,,
EXW,012,001,Generator,3.8L,,
EXW,012,001,Powertrain Control Module (PCM),3.0L,,
EXW,012,001,Powertrain Control Module (PCM),3.8L,,
EXW,013,001,A/C Clutch Relay,,,
EXW,013,001,Battery,,,
EXW,013,001,Battery Junction Box,3.0L,,
EXW,013,001,Battery Junction Box,3.8L,,
EXW,013,001,Fuel Pump Relay,3.0L,,
EXW,013,001,Fuel Pump Relay,3.8L,,
EXW,013,001,Fusible Link A,3.0L,,
EXW,013,001,Fusible Link A,3.8L,,
EXW,013,001,Fusible Link B,3.0L,,
EXW,013,001,Fusible Link B,3.8L,,
EXW,013,001,Fusible Link C,3.0L,,
EXW,013,001,Fusible Link C,3.8L,,
EXW,013,001,Generator,3.0L,,
EXW,013,001,Generator,3.8L,,
EXW,013,001,Horn Relay,,,
EXW,013,001,PCM Power Relay,3.0L,,
EXW,013,001,PCM Power Relay,3.8L,,
EXW,013,001,Starter Interrupt Relay,,,
EXW,013,001,Starter Motor/Solenoid,3.0L,,
EXW,013,001,Starter Motor/Solenoid,3.8L,,
EXW,013,002,Battery Junction Box,3.0L,,
EXW,013,002,Battery Junction Box,3.8L,,
EXW,013,002,Liftgate Washer Pump Motor,3.0L,,
EXW,013,002,Liftgate Washer Pump Motor,3.8L,,
EXW,013,002,Liftgate Wiper Motor,,,
EXW,013,002,Liftgate Wiper Relay,3.0L,,
EXW,013,002,Liftgate Wiper Relay,3.8L,,
EXW,013,002,Windshield Washer Pump Motor,3.0L,,
EXW,013,002,Windshield Washer Pump Motor,3.8L,,
EXW,013,002,Windshield Wiper Motor,3.0L,,
EXW,013,002,Windshield Wiper Motor,3.8L,,
EXW,013,002,Windshield Wiper On/Off Relay,,,
EXW,013,002,Windshield Wiper Speed Relay,3.0L,,
EXW,013,002,Windshield Wiper Speed Relay,3.8L,,
EXW,013,003,Battery Junction Box,3.0L,,
EXW,013,003,Battery Junction Box,3.8L,,
EXW,013,003,Dual Auxiliary Relay Box,,,
EXW,013,003,Electronic Brake Switch Connector,,,
EXW,013,003,Engine Cooling Fan Motor High Speed Relay,,,
EXW,013,003,Engine Cooling Fan Motor Low Speed Relay,,,
EXW,013,003,Front Electronic Module (FEM),,,
EXW,013,003,Powertrain Control Module (PCM),3.0L,,
EXW,013,003,Powertrain Control Module (PCM),3.8L,,
EXW,013,003,Switched System Power Relay #1,,,
EXW,013,003,Switched System Power Relay #2,,,
EXW,013,004,Anti-Lock Brake Control Module,3.0L,,
EXW,013,004,Anti-Lock Brake Control Module,3.8L,,
EXW,013,004,Battery Junction Box,3.0L,,
EXW,013,004,Battery Junction Box,3.8L,,
EXW,013,004,Left Power Lumbar Switch,,,
EXW,013,004,Left Power Sliding Door Module,,,
EXW,013,004,Left Seat Control Switch,,,
EXW,013,004,Right Power Lumbar Switch,,,
EXW,013,004,Right Power Sliding Door Module,,,
EXW,013,004,Right Seat Control Switch,,,
EXW,013,005,Accessory Delay Relay,,,
EXW,013,005,Auxiliary Blower Motor,,,
EXW,013,005,Battery Junction Box,3.0L,,
EXW,013,005,Battery Junction Box,3.8L,,
EXW,013,005,Front Blower Motor Relay,,,
EXW,013,005,Fuse Junction Panel,,,
EXW,013,005,Rear Window Defrost Relay,,,
EXW,013,005,Switched System Power Relay #3,,,
EXW,013,005,Switched System Power Relay #4,,,
EXW,013,006,Battery Junction Box,3.0L,,
EXW,013,006,Battery Junction Box,3.8L,,
EXW,013,006,Fuse Junction Panel,,,
