EVTM,NAME,QUALIFIER,LOCATION,LOCPAGE,ZONE,CONN_CELL,CONN_PAGE,HCCF_CELL,HCCF_PAGE,COLOR,TERMINAL,ITEMID_,SORT,FREQUENCY
EXW,C100,3.8L,LH rear of engine compartment,,,,,150,1,,42,,,
EXW,C100,3.0L,LH rear of engine compartment,6,A5,,,150,1,,42,,,
EXW,C102,3.8L,Lower LH rear of transaxle,,,,,,,GY,16,,,
EXW,C102,3.0L,Lower LH rear of transaxle,,,,,,,GY,16,,,
EXW,C103,3.8L,On powertrain control module (PCM),1,A2,,,23,9,,104,,,
EXW,C103,3.0L,On powertrain control module (PCM),5,A2,,,24,9,,104,,,
EXW,C106,3.8L,"Behind RH side of radiator, on right electric cooling fan motor",3,F5,,,,,,3,,,
EXW,C106,3.0L,"Behind RH side of radiator, on right electric cooling fan motor",7,F5,,,,,,3,,,
EXW,C107,3.8L,"Behind LH side of radiator, on left electric cooling fan motor",3,F7,,,,,,2,,,
EXW,C107,3.0L,"Behind LH side of radiator, on left electric cooling fan motor",7,F7,,,,,,2,,,
EXW,C108,3.8L,"Left front side of vehicle, on left front park/turn lamp",1,F9,,,,,,3,,,
EXW,C108,3.0L,"Left front side of vehicle, on left front park/turn lamp",5,F9,,,,,,3,,,
EXW,C109,3.8L,"Left front side of vehicle, on left front side lamp",1,E10,,,,,,2,,,
EXW,C109,3.0L,"Left front side of vehicle, on left front side lamp",5,E10,,,,,,2,,,
EXW,C110,3.8L,"Left front side of vehicle, on left headlamp",1,F8,,,,,,3,,,
EXW,C110,3.0L,"Left front side of vehicle, on left headlamp",5,F8,,,,,,3,,,
EXW,C111,3.8L,"Under driver seat, on anti-lock brake control module",,,,,42,4,,25,,,
EXW,C111,3.0L,"Under driver seat, on anti-lock brake control module",007,B10,,,42,4,,25,,,
EXW,C112,3.8L,Near windshield wiper motor,,,,,150,2,BK,8,,,
EXW,C112,3.0L,Near windshield wiper motor,5,A8,,,150,2,BK,8,,,
EXW,C113,3.8L,"LH rear of engine compartment, on windshield wiper motor",,,,,81,3,BK,5,,,
EXW,C113,3.0L,"LH rear of engine compartment, on windshield wiper motor",5,A7,,,81,3,BK,5,,,
EXW,C115,3.8L,"LH rear of engine compartment, on brake fluid warning switch",4,A7,,,,,,3,,,
EXW,C115,3.0L,"LH rear of engine compartment, on brake fluid warning switch",8,A6,,,,,,3,,,
EXW,C116,Without Speed Control,"LH side of engine compartment, on speed control servo",2,B10,,,,,,10,,,
EXW,C116,3.8L,"LH side of engine compartment, on speed control servo",2,B10,,,31,3,,10,,,
EXW,C116,3.0L,"LH side of engine compartment, on speed control servo",6,C10,,,31,3,,10,,,
EXW,C117,3.8L,"In washer fluid reservoir, on washer fluid level switch",2,D1,,,,,,2,,,
EXW,C117,3.0L,"In washer fluid reservoir, on washer fluid level switch",6,B1,,,,,,2,,,
EXW,C118,3.8L,"RH side of engine compartment, on liftgate washer pump motor",2,E1,,,,,,2,,,
EXW,C118,3.0L,"RH side of engine compartment, on liftgate washer pump motor",6,C1,,,,,,2,,,
EXW,C119,3.8L,"In washer fluid reservoir, on windshield washer pump motor",2,F2,,,,,,2,,,
EXW,C119,3.0L,"In washer fluid reservoir, on windshield washer pump motor",6,D1,,,,,,2,,,
EXW,C120,3.8L,"Right front side of vehicle, on right front park/turn lamp",1,F2,,,,,,3,,,
EXW,C120,3.0L,"Right front side of vehicle, on right front park/turn lamp",5,F3,,,,,,3,,,
