EVTM,NAME,QUALIFIER,LOCATION,LOCPAGE,ZONE,SORT,FREQUENCY
EXW,G100,,Left front of engine compartment,,,,
EXW,G101,,Lower LH front of engine compartment,,,,
EXW,G102,3.8L,RH front of engine compartment,2,F2,,
EXW,G102,3.0L,RH front of engine compartment,13,F5,,
EXW,G103,3.8L,"Front of transaxle, on transaxle stud",4,A1,,
EXW,G103,3.0L,"Front of transaxle, on transaxle stud",8,A1,,
EXW,G104,3.8L,LH front of engine compartment,,,,
EXW,G104,3.0L,LH front of engine compartment,5,F7,,
EXW,G105,3.8L,RH rear of engine compartment,1,A1,,
EXW,G105,3.0L,RH rear of engine compartment,15,A1,,
EXW,G107,,Left front of engine,,,,
EXW,G200,,Behind RH side of I/P,9,F2,,
EXW,G201,,Behind RH side of I/P,,,,
EXW,G202,,Behind RH side of I/P,9,F3,,
EXW,G204,,Behind RH side of I/P,9,F3,,
EXW,G300,,"On RH ""D"" pillar",,,,
EXW,G301,,Behind LH taillight assembly,11,F6,,
EXW,G302,,Behind LH cowl panel,,,,
EXW,G304,,Behind LH cowl panel,11,E1,,
EXW,G305,,Behind LH cowl panel,11,E1,,
EXW,G400,,Behind left taillight assembly,,,,
