EVTM,CELL,LOCPAGE,ZONE,NAME,QUALIFIER,TYPE,CONN_NAME,FREQUENCY
EXW,151,001,A10,Battery Junction Box,3.8L,COM,,0
EXW,151,001,A2,C103,3.8L,CON,,0
EXW,151,001,A2,Powertrain Control Module (PCM),3.8L,COM,,0
EXW,151,001,A5,C155,3.8L,CON,,0
EXW,151,001,A5,Heated Oxygen Sensor (HO2S) #12,3.8L,COM,,0
EXW,151,001,A6,C154,3.8L,CON,,0
EXW,151,001,A6,Heated Oxygen Sensor (HO2S) #11,3.8L,COM,,0
EXW,151,001,A8,C164,3.8L,CON,,0
EXW,151,001,A8,Left Front Wheel Speed Sensor,3.8L,COM,,0
EXW,151,001,D1,A/C Clutch Cycling Pressure Switch,3.8L,COM,,0
EXW,151,001,D1,C171,3.8L,CON,,0
EXW,151,001,D10,C185,3.8L,CON,,0
EXW,151,001,D10,Dual Pitch Horn,3.8L,COM,,0
EXW,151,001,E1,C121,3.8L,CON,,0
EXW,151,001,E1,Right Front Side Lamp,3.8L,COM,,0
EXW,151,001,E10,C109,3.8L,CON,,0
EXW,151,001,E10,Left Front Side Lamp,3.8L,COM,,0
EXW,151,001,F2,C120,3.8L,CON,,0
EXW,151,001,F2,Right Front Park/Turn Lamp,3.8L,COM,,0
EXW,151,001,F3,C122,3.8L,CON,,0
EXW,151,001,F3,Right Headlamp,3.8L,COM,,0
EXW,151,001,F4,C169,3.8L,CON,,0
EXW,151,001,F4,Engine Oil Pressure Switch,3.8L,COM,,0
EXW,151,001,F6,A/C High Pressure Cutout/Fan Switch,3.8L,COM,,0
EXW,151,001,F6,C141,3.8L,CON,,0
EXW,151,001,F8,C110,3.8L,CON,,0
EXW,151,001,F8,Left Headlamp,3.8L,COM,,0
EXW,151,001,F9,C108,3.8L,CON,,0
EXW,151,001,F9,Left Front Park/Turn Lamp,3.8L,COM,,0
EXW,151,002,A4,C147,,CON,,0
EXW,151,002,A5,C149,3.8L,CON,,0
EXW,151,002,A5,Throttle Position (TP) Sensor,3.8L,COM,,0
EXW,151,002,A7,Brake Pressure Switch,3.8L,COM,,0
EXW,151,002,A7,C127,3.8L,CON,,0
EXW,151,002,A9,Anti-Theft Switch,3.8L,COM,,0
EXW,151,002,A9,C189,3.8L,CON,,0
EXW,151,002,B10,C116,3.8L,CON,,0
EXW,151,002,B10,Speed Control Servo,3.8L,COM,,0
EXW,151,002,C1,C123,3.8L,CON,,0
EXW,151,002,C1,C133,3.8L,CON,,0
EXW,151,002,C1,Generator,3.8L,COM,,0
EXW,151,002,C10,C176,3.8L,CON,,0
EXW,151,002,C10,C181,3.8L,CON,,0
EXW,151,002,C10,Mass Air Flow (MAF) Sensor,3.8L,COM,,0
EXW,151,002,D1,Windshield Washer Fluid Level Switch,3.8L,COM,,0
EXW,151,002,E1,C118,3.8L,CON,,0
EXW,151,002,E1,Liftgate Washer Pump Motor,3.8L,COM,,0
EXW,151,002,E10,C132,3.8L,CON,,0
EXW,151,002,E10,Cooling Fan Dropping Resistor,3.8L,COM,,0
EXW,151,002,F2,C119,3.8L,CON,,0
EXW,151,002,F2,Windshield Washer Pump Motor,3.8L,COM,,0
EXW,151,002,F3,Ambient Air Temperature Sensor,3.8L,COM,,0
EXW,151,002,F3,C182,3.8L,CON,,0
EXW,151,002,F5,A/C Clutch Field Coil,3.8L,COM,,0
EXW,151,002,F5,C172,3.8L,CON,,0
EXW,151,002,F7,C148,3.8L,CON,,0
EXW,151,002,F7,Idle Air Control (IAC) Valve,3.8L,COM,,0
EXW,151,003,A4,C157,3.8L,CON,,0
EXW,151,003,A4,Fuel Injector #2,3.8L,COM,,0
EXW,151,003,A5,C158,3.8L,CON,,0
EXW,151,003,A5,Fuel Injector #3,3.8L,COM,,0
EXW,151,003,C1,C156,3.8L,CON,,0
EXW,151,003,C1,Fuel Injector #1,3.8L,COM,,0
EXW,151,003,C10,C167,3.8L,CON,,0
EXW,151,003,C10,Engine Coolant Temperature Sender,3.8L,COM,,0
EXW,151,003,D1,C140,3.8L,CON,,0
EXW,151,003,D1,Crankshaft Position (CKP) Sensor,3.8L,COM,,0
EXW,151,003,E1,Fuel Injector #4,3.8L,COM,,0
EXW,151,003,F2,C134,3.8L,CON,,0
EXW,151,003,F2,Starter Motor/Solenoid,3.8L,COM,,0
