EVTM,CELL,PAGE,NAME,QUALIFIER,REFCELL,REFPAGE,CARROT,PAGEID1,PAGEID2,ITEMID_,CELLID2
EXW,010,001,A/C Clutch Diode,,054,002,,,,,
EXW,010,001,A/C Clutch Field Coil,3.0L,054,001,,,,,
EXW,010,001,A/C Clutch Field Coil,3.8L,054,001,,,,,
EXW,010,001,Anti-Theft Switch,3.0L,059,002,,,,,
EXW,010,001,Anti-Theft Switch,3.8L,059,002,,,,,
EXW,010,001,Dual Pitch Horn,3.0L,044,001,,,,,
EXW,010,001,Dual Pitch Horn,3.8L,044,001,,,,,
EXW,010,001,Left Electric Cooling Fan Motor,3.0L,033,001,,,,,
EXW,010,001,Left Electric Cooling Fan Motor,3.8L,033,001,,,,,
EXW,010,001,Liftgate Wiper Relay,3.0L,082,001,,,,,
EXW,010,001,Liftgate Wiper Relay,3.8L,082,001,,,,,
EXW,010,001,PCM Power Relay,3.8L,023,001,,,,,
EXW,010,001,PCM Power Relay,3.0L,024,001,,,,,
EXW,010,001,Right Electric Cooling Fan Motor,3.0L,033,001,,,,,
EXW,010,001,Right Electric Cooling Fan Motor,3.8L,033,001,,,,,
EXW,010,001,S132,,010,002,,,,,
EXW,010,001,Speed Control Servo,3.0L,031,001,,,,,
EXW,010,001,Speed Control Servo,3.8L,031,001,,,,,
EXW,010,001,Windshield Washer Fluid Level Switch,3.0L,059,002,,,,,
EXW,010,001,Windshield Washer Fluid Level Switch,3.8L,059,002,,,,,
EXW,010,002,Anti-Lock Brake Control Module,3.0L,042,001,,,,,
EXW,010,002,Anti-Lock Brake Control Module,3.8L,042,001,,,,,
EXW,010,002,Brake Fluid Warning Switch,3.0L,059,002,,,,,
EXW,010,002,Brake Fluid Warning Switch,3.8L,059,002,,,,,
EXW,010,002,Brake Fluid Warning Switch,3.0L,066,001,,,,,
EXW,010,002,Brake Fluid Warning Switch,3.8L,066,001,,,,,
EXW,010,002,Fuel Pump/Fuel Gauge Sender,,023,008,,,,,
EXW,010,002,Fuel Pump/Fuel Gauge Sender,,024,007,,,,,
EXW,010,002,G101,,010,001,,,,,
EXW,010,002,Windshield Wiper Motor,3.0L,081,002,,,,,
EXW,010,002,Windshield Wiper Motor,3.8L,081,002,,,,,
EXW,010,003,Crankshaft Position (CKP) Sensor,3.8L,023,008,,,,,
EXW,010,003,Crankshaft Position (CKP) Sensor,3.0L,024,005,,,,,
EXW,010,003,Intake Manifold Runner Control (IMRC) Monitor,,023,002,,,,,
EXW,010,003,Mass Air Flow (MAF) Sensor,3.8L,023,004,,,,,
EXW,010,003,Mass Air Flow (MAF) Sensor,3.0L,024,008,,,,,
EXW,010,003,Powertrain Control Module (PCM),3.8L,023,004,,,,,
EXW,010,003,Powertrain Control Module (PCM),3.0L,024,008,,,,,
EXW,010,004,Blend Door Actuator,,054,003,,,,,
EXW,010,004,Blower Motor Resistor,,054,001,,,,,
EXW,010,004,CD Player,,130,001,,,,,
EXW,010,004,Glove Box Lamp,,089,003,,,,,
EXW,010,004,I/P Cigar Lighter,,044,002,,,,,
EXW,010,004,Main Light Switch,,085,001,,,,,
EXW,010,004,Main Light Switch,,087,001,,,,,
EXW,010,004,Message Center Switch,,060,004,,,,,
EXW,010,004,Radio,,130,001,,,,,
EXW,010,004,Rear Radio Control,,130,004,,,,,
EXW,010,004,S208,,010,005,,,,,
EXW,010,004,Steering Column Switch Illumination,,071,004,,,,,
EXW,010,004,Traction Assist/Parking Aid Disable Switch,,131,002,,,,,
EXW,010,005,Ashtray Illumination,,071,003,,,,,
EXW,010,005,Blower Motor Switch,,054,001,,,,,
EXW,010,005,Climate Control Switch Assembly,,054,003,,,,,
EXW,010,005,Data Link Connector (DLC),,014,001,,,,,
EXW,010,005,I/P Power Plug,,044,002,,,,,
EXW,010,005,Radio,,130,001,,,,,
EXW,010,005,S202,,010,004,,,,,
EXW,010,005,Shift Lock Actuator,,037,001,,,,,
EXW,010,006,Cargo Lamp,,089,002,,,,,
EXW,010,006,Interior Lamp,,089,002,,,,,
EXW,010,006,Left Rear Second Row Reading Lamp,,089,002,,,,,
EXW,010,006,Left Rear Third Row Reading Lamp,,089,002,,,,,
EXW,010,006,Parking Aid Module (PAM),,131,001,,,,,
EXW,010,006,Power Plug,,044,002,,,,,
EXW,010,006,Rear Auxiliary A/C Control,,054,004,,,,,
EXW,010,006,Right Rear Second Row Reading Lamp,,089,002,,,,,
EXW,010,006,Right Rear Third Row Reading Lamp,,089,002,,,,,
EXW,010,006,Trailer Tow Connector,,095,001,,,,,
EXW,010,006,Trailer Tow Module,,095,003,,,,,
EXW,010,007,Left Sliding Door Ajar Switch,,059,006,,,,,
EXW,010,007,Liftgate Wiper Motor,,082,001,,,,,
EXW,010,007,Rear Electronic Module (REM),,059,006,,,,,
EXW,010,007,Rear Electronic Module (REM),,059,008,,,,,
EXW,010,007,Rear Window Defrost Grid,,056,001,,,,,
EXW,010,007,Right Liftgate Ajar Switch,,059,006,,,,,
EXW,010,007,Right Power Sliding Door Module,,126,003,,,,,
EXW,010,007,Right Sliding Door Ajar Switch,,059,006,,,,,
EXW,010,008,Right Door Ajar Switch,,059,004,,,,,
EXW,010,008,Right Door Disarm Switch,,059,004,,,,,
EXW,010,008,Right Door Lock Switch,,110,001,,,,,
EXW,010,008,Right Exterior Rear View Mirror,,124,002,,,,,
EXW,010,008,Right Lumbar Seat Pump Motor,,122,001,,,,,
EXW,010,008,Right Power Sliding Door Switch,,126,003,,,,,
EXW,010,008,Right Power Window Switch,,100,002,,,,,
EXW,010,008,Right Seat Control Switch,,120,002,,,,,
EXW,010,009,Autolamp Sensor,,087,001,,,,,
EXW,010,009,Compass Module,,103,001,,,,,
EXW,010,009,Data Link Connector (DLC),,014,001,,,,,
EXW,010,009,Electronic Day/Night Mirror,,125,001,,,,,
EXW,010,009,Instrument Cluster,,060,004,,,,,
EXW,010,009,Left Vanity Mirror Lamp,,089,001,,,,,
EXW,010,009,Passive Anti-Theft System (PATS) Transceiver Module,,112,001,,,,,
EXW,010,009,Remote Keyless Entry (RKE) Module,,111,001,,,,,
EXW,010,009,Right Vanity Mirror Lamp,,089,001,,,,,
EXW,010,009,Traction Assist/Parking Aid Disable Switch,,042,003,,,,,
EXW,010,010,Electronic Brake Switch Connector,,095,002,,,,,
EXW,010,010,Front Electronic Module (FEM),,059,001,,,,,
EXW,010,010,Front Electronic Module (FEM),,059,002,,,,,
EXW,010,010,Front Electronic Module (FEM),,059,003,,,,,
EXW,010,010,Left Power Lumbar Switch,,122,001,,,,,
EXW,010,010,Left Seat Control Switch,,120,001,,,,,
EXW,010,010,Safety Belt Buckle Switch,,059,004,,,,,
EXW,010,011,Exterior Rear View Mirror Switch,,124,001,,,,,
EXW,010,011,Exterior Rear View Mirror Switch,,124,002,,,,,
EXW,010,011,Left Door Ajar Switch,,059,004,,,,,
EXW,010,011,Left Door Disarm Switch,,059,004,,,,,
EXW,010,011,Left Door Lock Switch,,110,001,,,,,
EXW,010,011,Left Exterior Rear View Mirror,,124,002,,,,,
EXW,010,011,Left Power Sliding Door Switch,,126,001,,,,,
EXW,010,011,Master Window Control Switch,,100,002,,,,,
EXW,010,011,Rear Radio Control,,130,004,,,,,
EXW,010,012,Auxiliary Blower Motor Resistor Assembly,,054,004,,,,,
EXW,010,012,Auxiliary Blower Speed Relay #2,,054,004,,,,,
EXW,010,012,Fuel Door Interlock Switch,,126,001,,,,,
EXW,010,012,Left Power Sliding Door Module,,126,001,,,,,
EXW,012,001,Battery Junction Box,3.8L,023,001,,,,,
EXW,012,001,Electronic Engine Controls,,023,001,,,,,
EXW,012,001,Electronic Engine Controls,,024,001,,,,,
EXW,012,001,Powertrain Control Module (PCM),3.8L,023,001,,,,,
EXW,012,001,Powertrain Control Module (PCM),3.8L,023,008,,,,,
EXW,012,001,Powertrain Control Module (PCM),3.0L,024,001,,,,,
EXW,012,001,Powertrain Control Module (PCM),3.0L,024,007,,,,,
EXW,012,001,Starting System,,020,001,,,,,
EXW,013,001,A/C Clutch Relay,,054,002,,,,,
EXW,013,001,Battery Junction Box,3.0L,013,002,A,,,,
EXW,013,001,Battery Junction Box,3.8L,013,002,A,,,,
EXW,013,001,C178,,013,006,B,,,,
EXW,013,001,Fuel Pump Relay,3.8L,023,007,,,,,
EXW,013,001,Fuel Pump Relay,3.0L,024,006,,,,,
EXW,013,001,Generator,3.0L,012,001,,,,,
EXW,013,001,Generator,3.8L,012,001,,,,,
EXW,013,001,Horn Relay,,044,001,,,,,
EXW,013,001,PCM Power Relay,3.8L,023,001,,,,,
EXW,013,001,PCM Power Relay,3.0L,024,001,,,,,
EXW,013,001,Starter Interrupt Relay,,020,001,,,,,
EXW,013,001,Starter Motor/Solenoid,3.0L,020,001,,,,,
EXW,013,001,Starter Motor/Solenoid,3.8L,020,001,,,,,
EXW,013,002,Battery Junction Box,3.0L,013,001,A,,,,
EXW,013,002,Battery Junction Box,3.8L,013,001,A,,,,
EXW,013,002,Battery Junction Box,3.0L,013,003,C,,,,
EXW,013,002,Battery Junction Box,3.8L,013,003,C,,,,
EXW,013,002,Liftgate Washer Pump Motor,3.0L,082,001,,,,,
EXW,013,002,Liftgate Washer Pump Motor,3.8L,082,001,,,,,
EXW,013,002,Liftgate Wiper Motor,,082,001,,,,,
EXW,013,002,Liftgate Wiper Relay,3.0L,082,001,,,,,
EXW,013,002,Liftgate Wiper Relay,3.8L,082,001,,,,,
EXW,013,002,Windshield Washer Pump Motor,3.0L,081,002,,,,,
EXW,013,002,Windshield Washer Pump Motor,3.8L,081,002,,,,,
EXW,013,002,Windshield Wiper Motor,3.0L,081,002,,,,,
EXW,013,002,Windshield Wiper Motor,3.8L,081,002,,,,,
EXW,013,002,Windshield Wiper On/Off Relay,,081,002,,,,,
EXW,013,002,Windshield Wiper Speed Relay,3.0L,081,002,,,,,
