EVTM,NAME,QUALIFIER,LOCATION,ITEMID_,SORT
EWX,S100,,"Engine control sensor and fuel charge harness, near T/O to C126 digital transmission range (DTR) sensor",,
EWX,S101,,"Engine control sensor and fuel charge harness, near T/O to C129 output shaft speed (OSS) sensor",,
EWX,S102,3.0L,"Engine control sensor and fuel charge harness, near T/O to C157 fuel injector #2",,
EWX,S102,3.8L,"Engine control sensor and fuel charge harness, near T/O to in-line C100M",,
EWX,S103,3.0L,"Engine control sensor and fuel charge harness, near T/O to C157 fuel injector #2",,
EWX,S103,3.8L,"Engine control sensor and fuel charge harness, near T/O to in-line C100M",,
EWX,S104,,"Engine control sensor and fuel charge harness, near T/O to C156 fuel injector #1",,
EWX,S105,3.8L,"Engine control sensor and fuel charge harness, near T/O to in-line C147F",,
EWX,S105,3.0L,"Engine control sensor and fuel charge harness, near T/O to in-line C177F",,
EWX,S106,3.0L,"Engine control sensor and fuel charge harness, near T/O to C159 fuel injector #4",,
EWX,S106,3.8L,"Engine control sensor and fuel charge harness, near T/O to in-line C147F",,
EWX,S107,3.8L,"Engine control sensor and fuel charge harness, in T/O to C103 powertrain control module (PCM)",,
EWX,S107,3.0L,"Engine control sensor and fuel charge harness, near T/O to G103",,
EWX,S108,3.0L,"Engine control sensor and fuel charge harness, near T/O to G103",,
EWX,S109,3.8L,"Engine control sensor and fuel charge harness, in T/O to C103 powertrain control module (PCM)",,
EWX,S109,3.0L,"Engine control sensor and fuel charge harness, near T/O to G103",,
EWX,S110,3.0L,"Engine control sensor and fuel charge harness, near T/O to C103 powertrain control module (PCM)",,
EWX,S111,,"Dash panel to headlamp junction, near T/O to C122 right headlamp",,
EWX,S112,,"Dash panel to headlamp junction, near T/O to G101",,
EWX,S113,,"Dash panel to headlamp junction, near T/O to C107 left engine cooling fan",,
EWX,S114,,"Dash panel to headlamp junction, near T/O to C132 cooling fan dropping resistor",,
EWX,S115,,"Dash panel to headlamp junction, near T/O to C110 left headlamp",,
EWX,S116,,"Dash panel to headlamp junction, near T/O to C110 left headlamp",,
EWX,S117,,"Dash panel to headlamp junction, near T/O to C110 left headlamp",,
EWX,S118,,"Dash panel to headlamp junction, near T/O to battery junction box",,
EWX,S119,,"Dash panel to headlamp harness, in T/O to battery junction box",,
EWX,S120,,"Dash panel to headlamp harness, in T/O to battery junction box",,
EWX,S121,,"Dash panel to headlamp harness, in T/O to battery junction box",,
EWX,S123,,"Dash panel to headlamp harness, near T/O to C164 left front wheel speed sensor",,
EWX,S124,,"Dash panel to headlamp harness, near T/O to C164 left front wheel speed sensor",,
EWX,S125,,"Dash panel to headlamp harness, near T/O to C164 left front wheel speed sensor",,
EWX,S126,,"Dash panel to headlamp harness, near T/O to C164 left front wheel speed sensor",,
EWX,S127,,"Dash panel to headlamp junction, near T/O to battery junction box",,
EWX,S128,,"Dash panel to headlamp junction, near T/O to C111 anti-lock brake module",,
EWX,S129,,"Dash panel to headlamp junction, near T/O to C111 anti-lock brake module",,
EWX,S130,,"Dash panel to headlamp junction, near T/O to in-line C100F",,
EWX,S131,,"Dash panel to headlamp junction, near T/O to in-line C100F",,
EWX,S132,,"Dash panel to headlamp junction, near T/O to in-line C100F",,
EWX,S133,,"Dash panel to headlamp junction, near T/O to in-line C100F",,
EWX,S134,,"Dash panel to headlamp junction, near T/O to C189 anti-theft switch",,
EWX,S135,,"Dash panel to headlamp junction, near T/O to C189 anti-theft switch",,
EWX,S136,,"Dash panel to headlamp junction, near T/O to C189 anti-theft switch",,
EWX,S137,,"Dash panel to headlamp junction, near T/O to engine cooling high/low fan motor",,
EWX,S138,,"Dash panel to headlamp junction, near T/O to engine cooling high/low fan motor",,
EWX,S139,,"Dash panel to headlamp junction, near T/O to C192 front electronic module (FEM)",,
EWX,S140,,"Dash panel to headlamp junction, near T/O to C191 front electronic module (FEM)",,
EWX,S141,,"Starter motor relay and battery ground harness, near T/O to in-line C177M",,
EWX,S142,,"Starter motor relay and battery ground harness, near T/O to in-line C177M",,
EWX,S143,,"Starter motor relay and battery ground harness, near T/O to in-line C177M",,
EWX,S144,,"Fuel charge harness, near T/O to C156 fuel injector #1",,
EWX,S200,,"Main harness, near T/O to C290M CD jumper",,
EWX,S201,,"Main harness, near T/O to C213 radio",,
EWX,S202,,"Main harness, near T/O to C222 glove box lamp",,
EWX,S203,,"Main harness, near T/O to C222 glove box lamp",,
EWX,S204,,"Main harness, near T/O to C213 radio",,
EWX,S205,,"Main harness, near T/O to C280 message center",,
EWX,S206,,"Main harness, near T/O to C280 message center",,
EWX,S207,,"Main harness, near T/O to C280 message center",,
EWX,S208,,"Main harness, near T/O to C280 message center",,
EWX,S209,,"Main harness, near T/O to C231 air bag module",,
EWX,S210,,"Main harness, near T/O to C231 air bag module",,
EWX,S211,,"Main harness, near T/O to C213 radio",,
EWX,S212,,"Main harness, near T/O to C280 message center",,
EWX,S213,,"Main harness, near T/O to C280 message center",,
EWX,S214,,"Main harness, near T/O to C280 message center",,
EWX,S215,,"Main harness, near T/O to C280 message center",,
EWX,S216,,"Main harness, near T/O to C280 message center",,
EWX,S217,,"Main harness, near T/O to in-line C292M",,
EWX,S218,,"Main harness, near T/O to in-line C292M",,
EWX,S219,,"Main harness, near T/O to in-line C292M",,
EWX,S220,,"Main harness, near T/O to in-line C292M",,
EWX,S221,,"Main harness, near T/O to C239 instrument cluster",,
EWX,S222,,"Main harness, near T/O to C239 instrument cluster",,
EWX,S223,,"Main harness, near T/O to C239 instrument cluster",,
EWX,S224,,"Main harness, near T/O to C239 instrument cluster",,
EWX,S225,,"Main harness, near T/O to C260 autolamp sensor",,
EWX,S226,,"Main harness, near T/O to C260 autolamp sensor",,
EWX,S227,,"Radio amplifier harness, in T/O to C237 CD changer",,
EWX,S228,,"Radio amplifier harness, in T/O to in-line C290F",,
EWX,S229,,"Heater blower motor feed harness, near T/O to blower motor resistor",,
EWX,S230,,"Heater blower motor feed harness, near T/O to temperature blend actuator",,
EWX,S275,,In steering column,,
EWX,S276,,In steering column,,
EWX,S277,,In steering column,,
EWX,S300,,"Main body harness, near T/O to in-line C923M",,
EWX,S301,,"Main body harness, near T/O to G300",,
EWX,S302,,"Main body harness, near T/O to G300",,
EWX,S303,,"Main body harness, near T/O to C307 body power point",,
EWX,S304,,"Main body harness, near grommet to right rear turn/stop/park lamps",,
EWX,S305,,"Main body harness, near grommet to right rear turn/stop/park lamps",,
EWX,S306,,"Main body harness, near grommet to right rear turn/stop/park lamps",,
EWX,S307,,"Main body harness, near T/O to C322 inertia fuel shutoff (IFS) switch",,
EWX,S308,,"Main body harness, near T/O to C322 inertia fuel shutoff (IFS) switch",,
EWX,S309,,"Main body harness, near T/O to C322 inertia fuel shutoff (IFS) switch",,
EWX,S310,,"Main body harness, near T/O to G301",,
EWX,S311,,"Main body harness, near T/O to G301",,
EWX,S312,,"Main body harness, near T/O to G301",,
EWX,S313,,"Main body harness, near T/O to in-line C432M",,
EWX,S314,,"Main body harness, near T/O to in-line C432M",,
EWX,S315,,"Main body harness, near T/O to in-line C432M",,
EWX,S316,,"Main body harness, near T/O to in-line C432M",,
EWX,S317,,"Main body harness, near T/O to in-line C432M",,
EWX,S318,,"Main body harness, near T/O to in-line C432M",,
EWX,S319,,"Main body harness, near T/O to grommet to left rear park/turn/stoplamps",,
EWX,S320,,"Main body harness, near T/O to in-line C432M",,
EWX,S321,,"Main body harness, near T/O to in-line C432M",,
EWX,S322,,"Main body harness, near T/O to in-line C432M",,
EWX,S323,,"Main body harness, near T/O to G302",,
EWX,S324,,"Main body harness, near T/O to in-line C333M",,
EWX,S325,,"Main body harness, near T/O to G304",,
EWX,S326,,"Main body harness, near T/O to G304",,
EWX,S327,,"Main body harness, near T/O to G304",,
EWX,S328,,"Main body harness, near T/O to G304",,
EWX,S329,,"Main body harness, near T/O to G305",,
EWX,S330,,"Main body harness, near T/O to G305",,
EWX,S331,,"Main body harness, near T/O to G304",,
EWX,S332,,"Main body harness, near T/O to G304",,
EWX,S333,,"Main body harness, near T/O to G304",,
EWX,S334,,"Main body harness, near T/O to C347 front electronic module (FEM)",,
EWX,S335,,"Main body harness, near T/O to C347 front electronic module (FEM)",,
EWX,S336,,"Main body harness, near T/O to C347 front electronic module (FEM)",,
EWX,S337,,"Main body harness, near T/O to C347 front electronic module (FEM)",,
EWX,S338,,"Main body harness, near T/O to in-line C179M",,
EWX,S339,,"Seat control feed jumper harness, near T/O to C319 driver front vertical motor",,
EWX,S340,,"Seat control feed jumper harness, near T/O to C318 driver horizontal motor",,
EWX,S341,,"Seat control feed jumper harness, near T/O to C357 passenger power seat switch",,
EWX,S342,,"Seat control feed jumper harness, near T/O to C360 passenger horizontal motor",,
EWX,S343,,"Air conditioner blower motor feed harness, near T/O to auxiliary A/C relay module",,
EWX,S344,,"Air conditioner blower motor feed harness, near T/O to C323 auxiliary blower motor",,
EWX,S345,,"Air conditioner blower motor feed harness, near T/O to in-line C336F",,
EWX,S346,,"Air conditioner blower motor feed harness, near T/O to in-line C336F",,
EWX,S347,,"Air conditioner blower motor harness, in T/O to C312 Auxiliary A/C mode door actuator",,
EWX,S400,,"Parking aid sensor front harness, near T/O to in-line C432F",,
EWX,S401,,"Parking aid sensor front harness, near T/O to in-line C432F",,
EWX,S402,,"Tailgate warning switch harness, near T/O to C408 RH liftgate ajar switch",,
EWX,S403,,"Reversing lamp harness, near T/O to C441 right corner parking aid sensor",,
EWX,S404,,"Reversing lamp harness, near T/O to C441 right corner parking aid sensor",,
EWX,S500,,"Window regulator left front door harness, near T/O to C508 left front door lock actuator",,
EWX,S600,,"Window regulator right front door harness, near T/O to C607 right front door lock actuator",,
EWX,S700,,"Window regulator right rear door harness, near T/O to C702 left rear door lock actuator",,
EWX,S800,,"Window regulator right rear door harness, near T/O to C802 right rear door lock actuator",,
EWX,S900,,"Interior lamp feed harness, near T/O to in-line C923F",,
EWX,S901,,"Interior lamp feed harness, near T/O to C909 RH second row reading lamp",,
EWX,S902,,"Interior lamp feed harness, near T/O to C909 RH second row reading lamp",,
